"walletAddress","collectionsOwnedCount","nftsOwnedCount","nftsOwnedCountErc721","nftsOwnedCountErc1155","nftsOwnedCountEver","nftsOwnedQuantity","nftsRecvFirstTs","nftsRecvLastTs","nftsPurchasedFirstTs","nftsPurchasedLastTs","nftsFifoHoldingSpanAvg","nftsFifoHoldingSpanMax","nftsLongestHoldingSince","nftsPurchasesCount","nftsPurchasesVolume","nftsPurchasesAvgPrice","nftsPurchasesMaxPrice","nftsSalesCount","nftsSalesVolume","nftsTotalNetProfit"
"0x80de2f874067b092bcb914144efbe1b54a731f4d","30","376","321","54","402","429","2021-10-01T23:42:49Z","2023-01-20T05:19:59Z","2021-11-09T18:47:18Z","2023-01-01T01:51:11Z","118","383","2021-10-01T23:42:49Z","251","100060.1060824050747164774000000000000000001","339.16943940294945823612893034966684756136","2492.5743459874501241883","26","475.58172921503208803333333333333333333333","174.98487775388771044052"
"0x1109297e392d92c1613fdbdf30579a0215c20da9","57","380","356","9","519","456","2021-04-23T17:07:45Z","2023-04-24T14:32:47Z","2021-04-23T17:07:45Z","2023-04-24T14:32:47Z","25","203","2021-05-14T22:22:08Z","247","20258.45255690023223112023","69.85018148953005866732578875360655828143","618.961021466363485","119","1129.23672698574882293028","768.82855185347369068127999999999999999999"
"0xc055de577ce2039e6d35621e3a885df9bb304ab9","13","26","18","8","29","30","2021-12-25T02:44:54Z","2023-04-21T07:40:59Z","2021-12-25T02:44:54Z","2023-04-21T07:40:59Z","289","388","2021-12-25T03:40:35Z","17","18521.48949743217004843619","974.75367331706260912132865292718354630234","5310.3777012674180832241","0","0","-16.25"
"0xd007058e9b58e74c33c6bf6fbcd38baab813cbb6","56","155","133","17","176","155","2022-06-17T09:17:57Z","2023-04-23T21:14:11Z","2022-06-17T09:17:57Z","2023-04-23T21:14:11Z","42","95","2022-06-17T09:17:57Z","87","15777.47550311598670860201748619999999999999","181.33153470463959715204194377822983829259","2062.71862521112826913","22","282.23073472953849750252134533573082064695","9.01923967351198190029411764705882352942"
"0x863c9aade08c7e024a4c7a2884c6024711ccb11a","68","184","150","30","238","191","2021-09-20T19:03:59Z","2023-03-19T01:03:23Z","2021-11-12T16:59:13Z","2023-03-19T01:03:23Z","103","409","2021-09-20T19:03:59Z","100","14759.93403572794516858435999999999999999999","140.5523277486191830843599603099783076129","921.0190085208209636971","40","588.48133306535666698508333333333333333333","277.71875363443114492939"
"0x6b92686c40747c85809a6772d0eda8e22a77c60c","120","377","337","41","578","388","2021-06-29T20:53:36Z","2023-04-23T06:53:35Z","2021-07-17T04:15:13Z","2023-04-23T06:53:35Z","46","535","2021-06-29T20:53:36Z","276","10861.29912902037503476091999999999999999998","37.84026603827881189770595567992496956766","819.0954688363590726017","76","1230.33592249789208649243857142857142857143","59.4124494612786465092472893772893772894"
"0xe55ed2c7734ebb3e7e9ddaae18b1ee592a6c8a7b","3","28","26","2","28","29","2021-05-17T06:35:09Z","2022-07-24T04:07:26Z","2021-05-17T06:35:09Z","2021-12-18T03:52:05Z","0","0","2021-05-17T06:35:09Z","27","7754.738584831990960419","276.95396033699847359184431484173270809747","937.066539905799298324","0","0","0"
"0xc75b143301cf47a3ad096ed904f5e3f0831a57fb","113","1973","1916","42","2371","2241","2021-11-24T03:27:47Z","2023-04-16T21:59:11Z","2021-11-24T03:27:47Z","2023-04-16T21:59:11Z","39","246","2021-11-24T14:42:15Z","1702","6446.80552741718000202942000000000000000004","3.36636047932173022364358132867316541265","658.269292209726323345","276","2924.20268956610932472353535481121668268015","-531.92843875993475101867347731319707993935"
"0x011c23b3aadaf3d4991f3abee262a34d18e9fdb5","126","1786","1690","24","2240","1837","2021-12-14T11:46:56Z","2023-04-25T13:44:59Z","2021-12-14T11:46:56Z","2023-04-18T10:51:59Z","30","329","2021-12-18T14:20:07Z","1211","5560.10911236531068183683999999999999999992","4.13974916766638705183112924557008997598","318","78","1038.00599372516232514975993920972644376894","-1165.34602490165125564277339412360688956422"
"0x69bab6810fa99475854bca0a3dd72ae6a0728ece","392","4026","3700","336","6204","2140000000000000006546","2020-11-10T17:29:55Z","2023-04-17T17:23:35Z","2020-11-14T19:45:50Z","2023-04-17T17:23:35Z","55","732","2020-11-10T18:03:28Z","4557","4783.80320946933659071156999999999999999983","0.00000000000000000223542206049968998928","151.713444735466360653","1130","3235.25828521765929003923771844066305194867","990.44109518931497868984500109683519526594"